,race,sexo,edad,zona_u_r,iden_pol_2,iden_pol_3,interes_pol_1_b,elec_pres_144_a,nom_region,religion_82,esc_nivel_1,gse,pred
244,1,1,57,1,99,4,3,1,12,11,2,18,1
245,1,2,56,1,99,7,3,1,21,11,2,1,1
246,1,2,69,3,1,1,2,0,39,5,95,15,0
247,2,2,65,1,99,1,2,0,37,11,2,1,0
248,1,1,70,3,99,7,2,1,36,2,2,16,1
249,1,1,66,3,4,6,2,0,29,1,6,19,0
250,1,2,24,2,1,3,3,0,6,9,5,1,0
251,1,2,80,2,6,7,2,1,42,11,2,10,1
252,1,1,30,4,3,3,2,0,8,2,6,16,0
253,1,2,58,1,7,7,2,1,45,1,3,-9,1
254,1,2,49,3,99,7,3,1,49,4,3,12,1
255,2,1,63,4,99,1,1,0,42,11,3,2,0
256,1,2,67,3,2,1,1,0,17,2,6,20,0
257,2,2,72,1,1,2,1,0,13,11,3,1,0
258,1,2,62,4,2,1,1,0,47,1,6,21,0
259,1,1,72,1,2,3,2,0,6,11,6,16,0
260,1,2,38,3,3,3,1,0,18,4,6,18,0
261,1,2,22,4,4,1,1,0,51,6,2,10,0
262,2,2,80,3,4,1,2,0,59,1,8,20,0
263,1,1,80,2,4,4,1,0,49,4,8,18,0
264,1,1,58,1,99,1,1,0,17,2,3,20,0
265,1,2,80,1,4,4,2,0,6,12,6,13,0
266,1,2,41,2,2,3,1,0,6,9,7,18,0
267,1,1,65,4,4,6,3,1,31,1,4,22,1
268,2,1,30,2,4,4,1,0,12,1,4,10,0
269,1,1,26,4,1,1,2,0,25,9,6,17,0
270,1,1,49,2,7,7,2,1,26,11,7,7,1
271,1,2,58,3,1,1,1,0,48,12,7,15,0
272,1,2,47,3,4,5,3,0,48,1,6,8,1
273,4,2,40,3,99,7,2,1,24,1,3,6,1
274,2,2,45,4,99,1,2,0,37,11,5,5,0
275,1,2,61,1,6,7,2,1,6,1,95,14,1
276,1,1,66,1,7,7,1,1,36,2,7,20,1
277,1,1,55,4,2,2,1,0,40,2,6,20,0
278,3,2,56,4,1,1,1,0,27,12,3,2,0
279,3,2,61,4,5,4,2,1,48,1,3,11,1
280,1,2,57,2,5,5,2,1,34,2,4,13,1
281,1,2,40,3,3,2,2,0,37,2,7,11,0
282,4,1,40,3,5,5,2,1,13,10,4,11,1
283,1,1,72,2,6,7,1,1,-9,1,6,6,1
284,1,2,42,2,6,7,3,1,27,11,5,9,1
285,1,2,42,1,99,4,3,0,8,11,1,2,0
286,2,2,66,4,2,1,3,0,34,11,7,11,0
287,1,1,63,2,6,7,2,1,42,2,6,13,1
288,6,1,51,3,7,5,1,1,48,2,3,11,1
289,5,1,66,3,6,5,1,1,42,11,5,7,1
290,2,2,61,4,4,1,2,0,34,12,5,16,0
291,1,1,39,4,2,1,2,0,51,9,3,10,0
292,1,1,50,1,4,5,2,1,51,11,3,21,1
293,1,1,49,2,6,7,3,1,18,11,6,20,1
294,1,1,64,1,4,3,2,0,34,2,5,14,0
295,1,1,42,3,7,7,1,1,40,11,6,10,1
296,1,1,35,4,2,1,2,0,39,2,6,21,0
297,1,1,80,4,3,1,2,0,9,1,7,8,0
298,1,2,70,2,1,1,1,0,42,1,6,13,0
299,2,1,50,4,4,6,3,0,47,12,6,8,0
300,3,1,25,2,4,3,2,0,6,10,6,1,0
301,1,1,69,3,6,7,1,1,25,2,6,8,1
302,1,1,35,4,5,6,2,1,34,2,6,1,1
303,1,1,55,2,6,5,1,1,54,11,95,22,1
304,1,1,77,2,1,3,2,0,36,5,7,22,0
305,1,2,40,4,7,5,2,1,6,1,3,17,1
306,1,2,42,3,2,2,3,0,6,10,7,19,0
307,5,1,66,4,6,7,4,1,36,12,5,7,1
308,1,1,38,1,6,7,2,1,36,11,5,15,1
309,6,2,34,4,3,3,3,0,6,12,7,12,0
310,1,1,58,3,5,7,3,1,24,12,3,18,1
